Sector,Business Functions,Classification
Energy,Customer Service,Process
Energy,Customer Service,Process
Energy,Customer Service,Process
Energy,Customer Service,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Marketing and sales,Software
Energy,Marketing and sales,Software
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,operations,Process
Energy,operations,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,Safety and Compliance,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,Exploration and Geology,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Community and Stakeholder Relations,Culture
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Human Resources (HR),Culture
MINING,Human Resources (HR),Culture
MINING,Human Resources (HR),Culture
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Marketing and sales,Software
MINING,Marketing and sales,Software
MINING,Marketing and sales,Software
MINING,Marketing and sales,Software
MINING,Marketing and sales,Software
MINING,Marketing and sales,Software
Energy,Health Safety and Environment (HSE,Process
Energy,Health Safety and Environment (HSE,Process
Energy,Health Safety and Environment (HSE,Process
Energy,Research and Development,Software
Energy,Research and Development,Software
Energy,IT,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Safety,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Safety,Process
Energy,Safety,Process
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Marketing and sales,Software
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Health Safety and Environment (HSE),Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Processing and Metallurgy,Process
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
Energy,Logistics,Hardware
Energy,Logistics,Hardware
Energy,Logistics,Hardware
Energy,HR,Culture
Energy,HR,Culture
Energy,Research and Development,Software
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Health,Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Health,Process
Energy,Health,Process
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Supply Chain and Logistics,Hardware
MINING,Human Resources (HR),Culture
MINING,Human Resources (HR),Culture
MINING,Human Resources (HR),Culture
MINING,Human Resources (HR),Culture
Energy,Finance,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,Finance,Process
Energy,HR,Culture
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Community and Stakeholder Relations,Culture
Energy,Environment and Quality(SHEQ),Process
Energy,Environment and Quality(SHEQ),Process
MINING,Finance and Accounting,Process
MINING,Finance and Accounting,Process
MINING,Finance and Accounting,Process
MINING,Finance and Accounting,Process
MINING,Finance and Accounting,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
MINING,Mining Operations,Process
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Logistics,Hardware
Energy,Logistics,Hardware
Energy,Finance,Process
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Power Generation,Hardware
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
Energy,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
MINING,Corporate Development and Strategy,Strategy
Energy,IT,Hardware
Energy,IT,Hardware
Energy,IT,Hardware
Energy,operations,Process
Energy,operations,Process
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Supply Chain and Logistics,Hardware
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Human Resources (HR),Culture
Energy,Research and Development,Software
Energy,Research and Development,Software
Energy,Research and Development,Software
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
Energy,operations,Process
