BusinessSector,BusinessFunction,MeasuringElt,Rating,SUbCategory,AsIsQuestions,ToBeQuestions,MAXIMUM RATING
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Incident Response and Recovery,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Compliance with Regulatory Requirements,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Continuous Monitoring and Auditing,,,5
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,30,Procurement,,,5
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,30,Logistics,,,5
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,30,Inventory management,,,5
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,30,Real time tracking,,,5
ENERGY,Human Resources (HR),Workforce Skills and Training,50,Training programs,,,5
ENERGY,Human Resources (HR),Recruitment,50,Hiring Process,,,5
ENERGY,Human Resources (HR),Boarding,50,Orientation,,,5
ENERGY,Human Resources (HR),Discplinary,50,Hearing,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Environmental impact,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Energy consumption,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Sustainable Energy practice,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,smart energy management,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,waste reduction,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Rehabilitation,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,Digital authority involvement in environmental issues,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,60,"Digital plan, monitoring and tracking of environmental issues",,,5
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,65,Strategic vision,,,5
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,65,Leadership commitment,,,5
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,65,Organizational structure,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Enabling Real-Time Visibility,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Alarms,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Alerts,,,5
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,75,Remote Troubleshooting Capabilities,,,5
ENERGY,operations,Power Generation ,66,Transmission Infrastructure,,,5
ENERGY,operations,Power Generation ,66,Distribution Networks,,,5
ENERGY,operations,Power Generation ,66,Grid Stability and Reliability,,,5
ENERGY,operations,Power Generation ,66,Renewable Integration,,,5
ENERGY,operations,Power Generation ,66,Environmental Impact,,,5
ENERGY,operations,Power Generation ,66,Generation Capacity,,,5
ENERGY,operations,Power Generation ,66,Electricity Generation,,,5
ENERGY,operations,generation technology,69,Heat Rate,,,5
ENERGY,operations,generation technology,69,Forced Outage Rate,,,5
ENERGY,operations,generation technology,69,Conversion Efficiency,,,5
ENERGY,operations,generation technology,69,Emissions Intensity,,,5
ENERGY,operations,generation technology,69,Fuel Cost,,,5
ENERGY,operations,generation technology,69,Interconnection Capacity,,,5
ENERGY,operations,generation technology,69,Nuclear Capacity Factor,,,5
ENERGY,operations,generation technology,69,Electricity Generation,,,5
ENERGY,Finance,Digital Capability,68,IT Infrastructure,,,5
ENERGY,Finance,Digital Capability,68,Descriptive Analysis,,,5
ENERGY, Finance,Digital Capability,68,Predictive Analysis,,,5
ENERGY,Human Resources (HR),Human Resources,88,Training on digital platforms,,,5
ENERGY,Human Resources (HR),Human Resources,88,Monitor skills on digital platforms,,,5
ENERGY,Human Resources (HR),Human Resources,88,Digitally monitor staff health status,,,5
ENERGY,Human Resources (HR),Human Resources,88,Change Management,,,5
ENERGY,Human Resources (HR),Human Resources,88,Reskilling,,,5
ENERGY,Human Resources (HR),Human Resources,88,Stakeholder Engagement,,,5
ENERGY,Human Resources (HR),Worker Enablement,87,Quick Decision,,,5
ENERGY,Human Resources (HR),Worker Enablement,87,Making Employee,,,5
ENERGY,Human Resources (HR),Worker Enablement,87,Enablement,,,5
ENERGY,Human Resources (HR),Worker Enablement,87,Employee Effectiveness,,,5
ENERGY,Human Resources (HR),Culture,85,Work Transformation,,,5
ENERGY,Human Resources (HR),Culture,85,Changing Behaviour,,,5
ENERGY,Human Resources (HR),Culture,85,Departmental Transformation,,,5
ENERGY,Human Resources (HR),Culture,85,People Transformation,,,5
ENERGY,"Marketing and sales,Corporate Development and Strategy",Customer Experience,77,Customer Satisfaction,,,5
ENERGY,"Marketing and sales,Corporate Development and Strategy",Customer Experience,77,Mine to Customer,,,5
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Integrated Operations Centres,,,5
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Realtime data,,,5
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Integration,,,5
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Data-Driven Mine,,,5
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Eliminating Silos,,,5
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,63,Single Platform,,,5
ENERGY,Human Resources (HR),Performance Management,99,Value Chain Optimisation,,,5
ENERGY,Human Resources (HR),Performance Management,99,Business Intelligence,,,5
ENERGY,Human Resources (HR),Performance Management,99,Business Improvement,,,5
ENERGY,Human Resources (HR),Performance Management,99,Shareholder Returns,,,5
ENERGY,Human Resources (HR),Performance Management,99,Key Performance Indicators,,,5
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,55,Labour,,,5
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,55,Unions,,,5
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,55,Employees,,,5
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,53,Practicality of technologies,,,5
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,53,Project Value Realisation,,,5
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,53,Motivation (No Incentives),,,5
ENERGY,Corporate Development and Strategy, Change Management,52,Ineffective change management,,,5
ENERGY,Corporate Development and Strategy, Change Management,52,communication,,,5
ENERGY,Corporate Development and Strategy, Change Management,52,Change Resistance,,,5
ENERGY,Corporate Development and Strategy, Change Management,52,Reskilling,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,50,Safety message announcement,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,50,Monitoring of staff and visitor presence,,,5
ENERGY,Safety and Compliance,Contract management,51,Digitally update and follow-up contracts towards clients,,,5
ENERGY,Safety and Compliance,Contract management,51,Digitally track sub-contractor and supplier,,,5
ENERGY,Safety and Compliance,Contract management,51,payment management,,,5
ENERGY,operations,Quality control,54,Collect and monitor progress reports,,,5
ENERGY,operations,Quality control,54,Quality inspections with mobile devices,,,5
ENERGY,operations,Scheduling,57,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,,5
ENERGY,operations,Scheduling,57,Plan and simulate site progress in 4D-software,,,5
ENERGY,operations,Scheduling,57,Maintain a digital construction site disposition plan,,,5
