Business_Sector,Business_Function,Business_Process,Business_Activity,Business_Resource
ENERGY,Human Resources (HR),Boarding,Orientation,
ENERGY,Human Resources (HR),Discplinary,Hearing,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Environmental impact,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Energy consumption,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Sustainable Energy practice,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,smart energy management,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,waste reduction,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Rehabilitation,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Digital authority involvement in environmental issues,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,"Digital plan, monitoring and tracking of environmental issues",
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Strategic vision,
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Leadership commitment,
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Organizational structure,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Enabling Real-Time Visibility,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Alarms,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Alerts,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Remote Troubleshooting Capabilities,
ENERGY,operations,Power Generation ,Transmission Infrastructure,
ENERGY,operations,Power Generation ,Distribution Networks,
ENERGY,operations,Power Generation ,Grid Stability and Reliability,
ENERGY,operations,Power Generation ,Renewable Integration,
ENERGY,operations,Power Generation ,Environmental Impact,
ENERGY,operations,Power Generation ,Generation Capacity,
ENERGY,operations,Power Generation ,Electricity Generation,
ENERGY,operations,generation technology,Heat Rate,
ENERGY,operations,generation technology,Forced Outage Rate,
ENERGY,operations,generation technology,Conversion Efficiency,
ENERGY,operations,generation technology,Emissions Intensity,
ENERGY,operations,generation technology,Fuel Cost,
ENERGY,operations,generation technology,Interconnection Capacity,
ENERGY,operations,generation technology,Nuclear Capacity Factor,
ENERGY,operations,generation technology,Electricity Generation,
ENERGY,Finance,Digital Capability,IT Infrastructure,
ENERGY,Finance,Digital Capability,Descriptive Analysis,
ENERGY, Finance,Digital Capability,Predictive Analysis,
ENERGY,Human Resources (HR),Human Resources,Training on digital platforms,
ENERGY,Human Resources (HR),Human Resources,Monitor skills on digital platforms,
ENERGY,Human Resources (HR),Human Resources,Digitally monitor staff health status,
ENERGY,Human Resources (HR),Human Resources,Change Management,
ENERGY,Human Resources (HR),Human Resources,Reskilling,
ENERGY,Human Resources (HR),Human Resources,Stakeholder Engagement,
ENERGY,Human Resources (HR),Worker Enablement,Quick Decision,
ENERGY,Human Resources (HR),Worker Enablement,Making Employee,
ENERGY,Human Resources (HR),Worker Enablement,Enablement,
ENERGY,Human Resources (HR),Worker Enablement,Employee Effectiveness,
ENERGY,Human Resources (HR),Culture,Work Transformation,
ENERGY,Human Resources (HR),Culture,Changing Behaviour,
ENERGY,Human Resources (HR),Culture,Departmental Transformation,
ENERGY,Human Resources (HR),Culture,People Transformation,
ENERGY,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Customer Satisfaction,
ENERGY,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Mine to Customer,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integrated Operations Centres,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Realtime data,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integration,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Data-Driven Mine,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Eliminating Silos,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Single Platform,
ENERGY,Human Resources (HR),Performance Management,Value Chain Optimisation,
ENERGY,Human Resources (HR),Performance Management,Business Intelligence,
ENERGY,Human Resources (HR),Performance Management,Business Improvement,
ENERGY,Human Resources (HR),Performance Management,Shareholder Returns,
ENERGY,Human Resources (HR),Performance Management,Key Performance Indicators,
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,Labour,
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,Unions,
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,Employees,
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,Practicality of technologies,
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,Project Value Realisation,
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,Motivation (No Incentives),
ENERGY,Corporate Development and Strategy, Change Management,Ineffective change management,
ENERGY,Corporate Development and Strategy, Change Management,communication,
ENERGY,Corporate Development and Strategy, Change Management,Change Resistance,
ENERGY,Corporate Development and Strategy, Change Management,Reskilling,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,Safety message announcement,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,Monitoring of staff and visitor presence,
ENERGY,Safety and Compliance,Contract management,Digitally update and follow-up contracts towards clients,
ENERGY,Safety and Compliance,Contract management,Digitally track sub-contractor and supplier,
ENERGY,Safety and Compliance,Contract management,payment management,
ENERGY,operations,Quality control,Collect and monitor progress reports,
ENERGY,operations,Quality control,Quality inspections with mobile devices,
ENERGY,operations,Scheduling,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",
ENERGY,operations,Scheduling,Plan and simulate site progress in 4D-software,
ENERGY,operations,Scheduling,Maintain a digital construction site disposition plan,
